artist_name,title,artist_location,release,hotttness,familiarity,danceability,duration,energy,loudness,year,tempo,analysis_rate,end_of_fade_in,key,key_confidence,mode,mode_confidence,start_of_fade_out,time_signature,time_signature_conf,track_id
Eliane Elias,The More I See You,Sao Paulo - Brazil,Bossa Nova Stories,0.42791424698295477,0.6697261875661445,0.0,251.42812,0.0,-12.009,2009,86.091,22050,0.071,7,0.391,1,0.319,237.598,5,0.551,51
Lost Boyz,Certain Things We Do,South Jamaica - Queens,Love_ Peace & Nappiness,0.41224060053560735,0.5697411522818971,0.0,269.7922,0.0,-11.043,1997,90.218,22050,0.218,7,0.715,1,0.614,257.416,4,1.0,52
The Germs,Forming,Los Angeles - CA,Germicide,0.40439264015477133,0.6400483571565447,0.0,206.05342,0.0,-11.506,1977,133.144,22050,0.0,11,0.641,0,0.597,206.053,1,0.0,53
Yamandu Costa,Mafuá,,Mafuá,0.38347574490669173,0.3977728757878008,0.0,190.04036,0.0,-14.179,0,205.317,22050,0.0,2,0.105,1,0.433,176.924,4,0.0,54
Chris Rea,Driving Home For Christmas,Middlesbrough - England,The Road To Hell Part 2,0.500691340913453,0.643182772912233,0.0,241.162,0.0,-8.531,1986,180.149,22050,0.549,9,0.222,1,0.403,230.342,4,0.0,55
Perrey And Kingsley,Spooks In Space,,Vanguard Visionaries,0.3384148184832545,0.4114210482617737,0.0,122.64444,0.0,-8.541,1966,102.538,22050,0.99,0,0.61,0,0.489,109.627,4,0.869,56
Eurythmics,Tous Les Garçons Et Les Filles,London - England,Be Yourself Tonight,0.5236990777653908,0.7510076200369779,0.0,207.0722,0.0,-6.629,1985,84.164,22050,2.583,0,0.442,1,0.371,202.757,4,0.853,57
Francis Dunnery,Too Much Saturn,Egremont - Cumbria - England,Hometown 2001,0.3835242473277272,0.548585130198109,0.0,300.79955,0.0,-13.33,1995,124.175,22050,0.0,7,0.666,1,0.658,298.347,4,0.698,58
John Cale,Movement 4 [from Kiss] (Album Version),Garnant - Wales,Eat / Kiss: Music For The Films By Andy Warhol,0.48165586241245567,0.7493178009614533,0.0,228.46649,0.0,-12.412,1997,137.004,22050,0.0,7,0.458,1,0.602,228.466,1,0.0,59
Suzanne Ciani,Stream,California - SF,The Ultimate Most Relaxing New Age Piano in the Universe,0.3807045358244573,0.6319466659983671,0.0,239.59465,0.0,-21.552,0,106.33,22050,0.311,7,0.527,1,0.613,236.507,4,0.526,60
Vickie Winans,Make Me Over,,Classic Gold: Best of All,0.3968558693253486,0.6539378209700205,0.0,228.93669,0.0,-8.686,0,107.961,22050,0.338,11,0.172,0,0.369,219.574,4,1.0,61
The Berzerker,Deform (live),Melbourne - Australia,The Berzerker,0.45755390983649336,0.6683706115518646,0.0,165.61587,0.0,-6.222,2000,174.287,22050,2.171,1,0.108,1,0.256,165.616,3,0.132,62
Kings Of Leon,Wicker Chair,Nashville - Tennessee,Holy Roller Novocaine,0.7888059351620142,0.8457688664485438,0.0,187.92444,0.0,-5.907,2003,116.823,22050,0.328,0,0.612,1,0.735,180.344,4,0.347,63
Edith Lefel,An ti chans',,Jeux de dames_ vol. 1 (réalisation Ronald Rubinel),0.30004649036641506,0.40745564385201366,0.0,276.50567,0.0,-4.638,0,101.972,22050,0.299,0,0.29,1,0.389,261.956,4,1.0,64
Taras,I Will Love Again (JJ's Club Radio),,I Will Love Again,0.18931487775261457,0.46017132366610164,0.0,200.25424,0.0,-5.884,0,127.97,22050,0.0,11,0.056,0,0.283,194.844,4,0.0,65
NOFX,Stickin In My Eye,Berkeley - CA,White Trash ......,0.5542914890128156,0.7788167165625715,0.0,144.50893,0.0,-7.787,1992,152.622,22050,0.237,4,0.093,0,0.423,140.057,4,0.358,66
Murskahumppa,Ota kiinni,,Murskapunkkia,0.26803783963074496,0.43588984708830425,0.0,285.17832,0.0,-8.488,0,110.787,22050,0.0,7,0.379,1,0.401,275.853,3,1.0,67
Soda Stereo,Entre Caníbales,,Canción Animal,0.46682699252718746,0.7111657865776896,0.0,246.69995,0.0,-9.603,1990,112.903,22050,0.322,7,0.161,1,0.205,224.049,4,1.0,68
Bruce Rowland,Rosemary Recalls,AUSTRALIA,The Man from Snowy River,0.3004544598123077,0.44316239759770826,0.0,84.03546,0.0,-26.266,1985,115.642,22050,0.328,7,0.469,1,0.591,75.79,4,0.44,69
Xcultures,Sudanese Dance,,One World One People,0.26627528554651025,0.4004335134580979,0.0,273.52771,0.0,-6.305,2000,125.013,22050,2.177,1,0.652,1,0.694,268.893,4,1.0,70
White Heart,Where The Thunder Roars (Tales Of Wonder Album Version),,Tales Of Wonder,0.33750728916593725,0.47736475248353516,0.0,298.84036,0.0,-9.998,0,113.277,22050,19.093,5,0.596,1,0.567,289.46,4,0.872,71
Heavy D / McGruff,Wanna Be A Player,Jamaica - West Indies,Waterbed Hev,0.36366811024462387,0.6178701163443497,0.0,161.38404,0.0,-9.161,1997,96.979,22050,0.165,5,0.665,0,0.606,161.384,4,0.895,72
Van Halen,Panama (Remastered Album Version),Pasadena - CA,The Best Of Both Worlds,0.5799889824287546,0.7446412459327763,0.0,209.29261,0.0,-4.865,0,140.995,22050,0.0,8,0.455,1,0.48,206.623,1,0.41,73
Black Eyed Peas,Let's Get It Started,Los Angeles - CA,Total Workout Running 102 - 135 - 84bpm Ideal For Jogging_ Running_ Treadmill & General Fitness,1.0059419659547393,0.845601886640232,0.0,229.61587,0.0,-4.882,2004,105.206,22050,0.0,11,0.205,0,0.332,213.664,4,1.0,74
Nine Inch Nails,Metal,Cleveland - OH,Things Falling Apart,0.5984585009824434,0.9057768886660886,0.0,426.89261,0.0,-12.951,2000,63.017,22050,0.286,0,0.05,0,0.395,399.9,4,0.378,75
Nick Cave & The Bad Seeds,She Fell Away (2009 Digital Remaster),,Your Funeral... My Trial (2009 Digital Remaster),0.47940767557514763,0.6940216479070769,0.0,269.26975,0.0,-11.751,0,144.603,22050,3.889,9,0.052,0,0.142,262.798,4,0.0,76
Nadine Renee,Next Time,,Oasis of Love,0.13924739387110993,0.4083890223759677,0.0,249.41669,0.0,-6.693,0,167.92,22050,0.647,2,0.883,1,0.728,238.434,4,0.75,77
Lesley Gore,It's My Party,New York - NY,60's Triple set,0.3891007762801808,0.6069253585317187,0.0,136.48934,0.0,-9.091,1963,129.122,22050,0.229,9,0.386,1,0.632,130.026,1,0.0,78
Smartbomb,Complicate It,,Yeah.  Well_ Anyway....,0.3224851056611973,0.5624637835796072,0.0,233.27302,0.0,-2.658,2001,132.022,22050,0.386,0,0.53,1,0.501,231.178,4,0.782,79
Suburbs,Monde De Fou,Minnesota,Un Titre de Toune,0.3356518391847009,0.48100458301758264,0.0,187.24526,0.0,-4.42,2005,183.92,22050,0.107,1,0.842,1,0.721,178.625,1,0.063,80
Emperor,Opus a Satana (Part 2),Norway,Live Inferno,0.45339118607533013,0.7429631523413633,0.0,72.61995,0.0,-11.051,0,89.867,22050,0.0,9,0.0,0,0.0,68.365,4,0.476,81
Julien Clerc,This Melody (Live),FR,Vendredi 13 - 1981,0.36438492446826576,0.585479539749522,0.0,272.63955,0.0,-9.97,0,119.896,22050,2.775,2,0.633,1,0.605,272.64,5,0.921,82
Glen Campbell,I'm Gone This Time,Delight - AR,Unconditional Love,0.4810242392118726,0.671596269848304,0.0,142.75873,0.0,-11.335,0,137.29,22050,0.218,1,0.62,0,0.814,135.546,4,0.0,83
T.G. Sheppard,You Feel Good All Over,Humboldt - TN,The Very Best Of,0.34328188178708335,0.44932361520766173,0.0,194.11546,0.0,-15.581,2002,82.343,22050,0.089,5,1.0,1,0.886,182.729,1,0.387,84
Slim Whitman,Indian Love Call,Tampa - FL,Country Lovers. Vol. 3,0.38666909170602387,0.5164437797727629,0.0,195.91791,0.0,-11.98,1990,91.487,22050,0.165,3,0.883,1,0.735,192.087,4,0.0,85
Savage Garden,You Can Still Be Free,CA,Affirmation,0.5380702951237828,0.7282097070640043,0.0,118.33424,0.0,-11.215,1999,84.69,22050,0.0,9,0.0,0,0.0,118.334,5,0.678,86
Queens Of The Stone Age,I Never Came,,Lullabies To Paralyze,0.5524133455169445,0.7986451787418826,0.0,288.41751,0.0,-8.165,2005,115.606,22050,0.113,2,0.08,1,0.665,279.179,4,0.0,87
Hank Penny & The Lincoln Penny Orchestra,Dixie,Birmingham - AL,It's War Again,0.3475988886835368,0.44585463135951076,0.0,123.21914,0.0,-12.69,0,126.523,22050,1.001,7,0.278,0,0.482,118.079,1,0.0,88
Inspiral Carpets,Commercial Reign,Manchester - England,The Singles,0.39854753538058046,0.605109701914858,0.0,283.76771,0.0,-8.7,1990,113.677,22050,0.0,2,0.823,1,0.69,271.83,4,1.0,89
Borialis,Hourglass,,What You Thought You Heard,0.4214151025424071,0.45404399500343795,0.0,239.3073,0.0,-5.758,0,86.938,22050,0.182,2,0.569,1,0.601,220.264,4,0.222,90
The Dirty Skirts,Wake,,Daddy Don't Disco,0.40418220665370436,0.5435161307179269,0.0,206.75873,0.0,-4.907,0,141.936,22050,0.096,0,0.613,1,0.656,193.115,4,0.634,91
Flor Silvestre,Caricia Y Herida,,15 Exitos Vol. 2 Flor Silvestre,0.3135693426838017,0.4205458495228202,0.0,134.81751,0.0,-8.133,0,106.049,22050,0.0,11,0.847,1,0.646,130.723,1,0.0,92
Bézu,Le tortillard,Bézu - comme Superdupont - ne connait qu&#039;un pays : la France !,Le top du père Nöel,0.1489854809922737,0.37385062304422495,0.0,285.64853,0.0,-9.093,0,126.88,22050,0.397,8,0.508,1,0.343,274.727,4,0.0,93
Redman,WKYA (drop),Newark - NJ,Malpractice,0.49356684269655965,0.7431297761478142,0.0,124.18567,0.0,-10.296,2001,85.008,22050,0.0,1,0.074,0,0.492,121.005,5,1.0,94
Solistiyhtye Suomi,Teräslintu,,20 Suosikkia / Rilluttele yö,0.3178109598122704,0.13818761011851705,0.0,134.08608,0.0,-12.839,0,133.699,22050,4.441,4,0.718,0,0.674,130.38,1,0.0,95
Eddie Cantor,Now's The Time To Fall In Love,New York - NY,The Fabulous Eddie Cantor,0.33109012633891616,0.4161410224693502,0.0,155.61098,0.0,-13.71,0,118.975,22050,0.154,11,0.599,1,0.517,150.75,1,0.003,96
Schizoid,Grim Prospects (Gross Prospects - Bad Trip Remix),,Grim Prospects Remixes - Grim Prospects Will Never End,0.34919221761645924,0.49555965151406806,0.0,275.40853,0.0,-2.119,0,102.408,22050,0.0,9,0.376,1,0.334,272.556,4,0.395,97
Kai Winding,Mangos,Aarhus - Denmark,The Incredible Kai Winding Trombones,0.3163540008222974,0.43053890741728074,0.0,223.4771,0.0,-14.438,1961,112.006,22050,0.291,0,0.0,1,0.138,220.026,4,0.844,98
Sonny Simmons,A Distant Voice,Sicily Island - LA,Staying on the Watch,0.317833879200262,0.42837541665132417,0.0,443.24526,0.0,-13.002,0,45.527,22050,0.23,1,0.0,1,0.051,430.736,4,0.0,99
Mira,Openbare Weg,Tallahassee - FL,Openbare Weg,0.34575124701970267,0.5451109508213838,0.0,177.81506,0.0,-12.004,2006,85.621,22050,0.554,4,0.695,1,0.673,167.48,4,0.612,100
Citizen Kaned,President Johnson,,Tip World Singles 2000,0.27756173775343046,0.4833394215564992,0.0,385.33179,0.0,-8.37,2000,108.061,22050,3.048,8,0.822,0,0.503,382.647,4,1.0,101
The Brooklyn Tabernacle Choir,Lead Me Lord,,Praise Him...Live!,0.4320119468576032,0.5592784942236473,0.0,324.44036,0.0,-11.829,1995,216.195,22050,0.0,7,0.558,1,0.718,312.239,5,1.0,102
Ellen McIlwaine,Spontanous Combustion,Nashville - TN,Spontanous Combustion,0.3251485709173023,0.43888747505017295,0.0,275.12118,0.0,-6.29,0,132.428,22050,0.34,7,0.699,1,0.527,272.933,4,0.281,103
Vince Guaraldi / Bola Sete,Choro,San Francisco - CA,From All Sides,0.4148926124367487,0.5781036297198625,0.0,294.66077,0.0,-15.761,0,168.307,22050,0.864,5,0.238,0,0.07,282.564,4,0.0,104
Maurice Chevalier,Ma Louise,Menilmontant - France,Maurice Chevalier  The Essential Collection Vol 1,0.3915853290262099,0.5024531765214763,0.0,193.20118,0.0,-27.433,0,140.956,22050,0.497,0,0.371,1,0.484,190.003,7,0.866,105
Carl Cox Vs Yousef,I Want You (Forever),,Dave Pearce Best of the Dance Years 1988 - 1992,0.38418425849676846,0.5419751082100462,0.0,357.82485,0.0,-5.701,1991,130.016,22050,0.131,1,0.485,1,0.427,353.785,5,1.0,106
Organized Konfusion,Hate,SPRINGFIELD - Virginia,The Equinox,0.4126716309926985,0.6837194679130381,0.0,198.3473,0.0,-8.709,1997,175.769,22050,0.201,11,0.306,0,0.22,182.184,4,0.7,107
Martina McBride,I Can't Stop Loving You,Medicine Lodge - KS,Timeless,0.6282464191914875,0.6148709339199385,0.0,261.95546,0.0,-13.627,2005,100.194,22050,0.0,7,0.96,1,0.634,253.452,3,1.0,108
Horace Andy,Thank You Lord,Kingston - Jamaica,Feel Good All Over: Anthology 1970-1976,0.3742711738564048,0.6264363817515622,0.0,176.27383,0.0,-11.479,1985,151.911,22050,0.183,2,0.171,1,0.239,166.911,4,0.231,109
Nazz,How Can You Call That Beautiful (Stewkey Vocal),,13th And Pine,0.3841464443048954,0.49468141699642837,0.0,220.89098,0.0,-6.302,0,119.691,22050,0.0,9,0.606,1,0.475,213.107,4,0.491,110
Tyrone Davis,Cheatin' In The Next Room,Greenville - MS,Call Tyrone,0.3932151037866921,0.5438663024727286,0.0,235.91138,0.0,-10.466,0,161.976,22050,0.322,10,0.46,1,0.379,219.725,4,0.696,111
Hot Tuna,Candy Man,San Francisco - CA,Final Vinyl,0.40517835890761195,0.5672788711826817,0.0,239.59465,0.0,-9.275,1971,172.398,22050,0.31,0,0.601,1,0.563,231.3,1,0.0,112
Richard Burton,I See The Boys Of Summer,Pennsylvania,Fifteen Poems By Dylan Thomas,0.28404740990087485,0.4323864772977878,0.0,171.49342,0.0,-37.398,0,109.823,22050,0.085,2,0.45,1,0.685,165.216,3,0.659,113
Rory Block,Three Is a Crowd,New York - NY,The Early Tapes 1975-1976,0.34318504527257115,0.5138295872991763,0.0,266.05669,0.0,-13.836,0,90.101,22050,0.23,1,0.936,1,0.763,256.064,1,0.0,114
Boyz II Men,On Bended Knee,Philadelphia - PA,Legacy,0.6011849417940898,0.7909228479560918,0.0,329.27302,0.0,-7.103,1994,116.473,22050,0.45,8,0.497,1,0.491,322.101,4,1.0,115
Howard Armstrong,My Four Reasons,Dayton - TN,Louie Bluie Film Soundtrack,0.0,0.45466819047325063,0.0,198.922,0.0,-13.495,0,126.821,22050,0.228,9,0.0,0,0.094,190.705,4,0.0,116
Donny Hathaway,Little Girl (LP Version),Chicago - IL,Donny Hathaway,0.4224724232432197,0.657406765298449,0.0,283.21914,0.0,-15.144,1971,111.191,22050,0.258,2,0.499,1,0.652,277.467,3,0.851,117
Miguel Gallardo,Eternamente Amame,,Canciones De Amor De Miguel Gallardo,0.33510142487208283,0.4587120897603369,0.0,238.68036,0.0,-12.991,0,125.508,22050,0.386,5,0.458,1,0.542,230.742,4,0.462,118
Les Ogres De Barback,Niev nietch nievitch,,Irfan_ le héros,0.4379647331417924,0.6523678641880865,0.0,254.06649,0.0,-6.01,1999,137.888,22050,0.43,4,0.446,0,0.383,249.562,1,0.0,119
DJ X-Change featuring DJ Joey A,Come Over,,What up Detroit,0.28128421554929817,0.34244014433162095,0.0,184.31955,0.0,-5.58,0,150.012,22050,0.798,6,0.0,0,0.0,178.503,4,0.0,120
Morel,Blue Taxi,Washington DC,Peterbilt Angel,0.3340657898380008,0.49825930987901096,0.0,311.40526,0.0,-4.313,0,108.367,22050,0.0,10,0.685,1,0.611,300.118,4,0.36,121
Tony Joe White,I Want Love (Tween You & Me) (Album Version),Goodwill - LA,Homemade Ice-Cream,0.4035096733630853,0.6247237675785525,0.0,162.53342,0.0,-17.285,0,173.482,22050,0.524,2,0.243,1,0.297,151.551,4,0.804,122
Wolfmother,White Feather,Sydney - Australia,White Feather,0.5669715662185826,0.7922555897317167,0.0,212.37506,0.0,-5.931,2009,110.745,22050,0.868,4,0.372,0,0.207,209.438,4,1.0,123
The Roches,Christlike Roche,New York City,Can We Go Home Now,0.37225120793006455,0.5736054913170406,0.0,338.33751,0.0,-14.248,1995,130.027,22050,0.0,2,0.626,0,0.575,328.986,4,0.509,124
Bob Margolin,You Rascal You,Boston - MA,In North Carolina,0.3268488180257514,0.5559850526989919,0.0,126.51057,0.0,-12.651,0,110.168,22050,0.0,11,0.228,1,0.374,121.702,4,0.92,125
Thomas Battenstein,Sympathy,,Wintertime,0.0,0.42562724003042296,0.0,205.58322,0.0,-16.056,0,97.976,22050,0.612,9,0.825,0,0.836,182.323,3,1.0,126
